ResponseId,CHECK,SM_VOLUME,SM_FREQ1,SM_FREQ2,SM_FREQ3,SM_FREQ4,SM_FREQ5,SM_FREQ6,SM_FREQ7,SM_FREQ8,SM_FREQ9,SM_FREQ10,SM_FREQ11,NSMCS_1,NSMCS_2,NSMCS_3,NSMCS_4,NSMCS_5,NSMCS_6,PSQI1,PSQI3,PSQI2,PSQI4,PSQI5_1,PSQI5_2,PSQI5_3,PSQI5_4,PSQI5_5,PSQI5_6,PSQI5_7,PSQI5_8,PSQI5_9,PSQI5_10,PSQI6,PSQI7,PSQI8,PSQI9,ISI1,ISI2,ISI3,ISI4,ISI5,ISI6,ISI7,PSA1,PSA2,PSA3,PSA4,PSA5,PSA6,PSA7,PSA8,PSA9,PSA10,PSA11,PSA12,PSA13,PSA14,PSA15,PSA16,EMOINVEST_1,EMOINVEST_2,EMOINVEST_3,EMOINVEST_4,EMOINVEST_5,EMOINVEST_6,EMOINVEST_7,EMOINVEST_8,EMOINVEST_9,EMOINVEST_10,AGE,GENDER,MALE,NONBIN,RACE_WHITE,RACE_BLACK,RACE_LATIN,RACE_ASIAN,RACE_AIAN,RACE_NHOPI,RACE_MULTI,RACE_OTHER,EDUC,psaTOT,isiTOT,eminvTOT,nscmsTOT,smfreqTOT,PSQI_Quality,PSQI_Latc1,PSQI_Latc2,PSQI_Latsum,PSQI_Latency,PSQI_Duration,PSQI_TIB,PSQI_TIB2,PSQI_DUR,PSQI_EffRaw,PSQI_Efficiency,PSQI_Distraw,PSQI_Disturbance,PSQI_Medication,PSQI_DayRaw,PSQI_Dysfunction,PSQI_TotScore
R_7JF2WPoD3wRHoSE,2,4,7,7,7,6,7,5,4,5,6,1,6,6,5,4,5,5,4,44,13,30,17,3,2,2,1,1,2,2,1,1,3,3,3,4,2,4,5,2,2,2,2,3,4,4,5,4,3,4,4,4,5,4,4,3,2,2,3,3,5,5,3,5,6,4,5,4,4,4,29,1,1,0,1,0,0,0,0,0,0,0,6,3.625,13,4.5,4.83333333333333,5.54545454545455,1,1,2,3,2,0,8.5,8.5,8,.941176470588235,0,6,1,2,5,3,9
R_1FILIurEmqpkLDz,2,4,6,6,6,6,6,5,6,5,6,6,6,6,6,6,4,6,6,1,15,15,6,3,4,3,3,3,4,2,3,3,2,3,3,4,3,5,4,4,3,5,4,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,6,6,6,5,6,6,5,1,5,5,22,1,1,0,1,0,0,0,0,0,0,0,5,4.5,22,5.1,5.66666666666667,5.81818181818182,2,0,2,2,1,3,31,7,2.5,.357142857142857,3,18,2,2,5,3,16
R_5TXftyAmnWzYIP2,2,3,2,6,3,3,3,2,2,2,2,1,1,5,5,5,6,5,5,7,19,30,13,3,3,4,3,3,2,4,2,3,3,3,3,1,2,2,4,2,2,4,4,4,3,3,2,2,2,4,2,3,3,4,3,5,3,1,4,3,3,2,1,5,4,3,3,3,5,4,26,1,1,0,1,0,0,0,0,0,0,0,3,2.9375,15,3.3,5.16666666666667,2.45454545454545,1,1,2,3,2,1,30,6,6,1,0,18,2,2,2,1,9
R_5DUAMXoYC14CbmK,2,4,7,4,7,4,1,1,1,1,1,1,7,4,4,4,3,4,3,4,6,121,5,3,2,3,3,3,3,2,2,2,1,1,4,1,1,2,4,2,5,1,2,2,1,3,2,5,4,3,3,3,3,3,3,4,2,1,2,2,2,4,4,4,4,4,2,2,2,5,20,1,1,0,1,0,0,0,0,0,0,0,2,2.75,11,3.3,3.66666666666667,3.18181818181818,0,3,2,5,3,3,25,1,2,2,0,12,2,0,3,2,10
R_3f2CBCK3XEYhAPv,2,2,5,3,1,4,5,1,2,2,3,1,6,5,4,5,4,6,4,1,16,67,18,3,3,2,4,2,3,4,3,3,3,3,2,3,2,3,4,2,2,3,2,3,3,2,4,4,3,3,3,4,3,3,4,3,4,3,4,4,5,4,6,5,4,5,5,6,5,6,30,1,1,0,1,0,0,0,0,0,0,0,2,3.375,12,5.1,4.66666666666667,3,1,3,2,5,3,0,31.5,7.5,8.5,1.13333333333333,0,18,2,2,3,2,10
R_5qrySm7yWpEgpxa,2,3,3,4,3,3,4,5,6,6,7,5,5,4,5,4,3,3,3,6,8,45,10,3,3,2,2,1,2,3,3,3,3,3,3,2,3,2,4,3,2,3,4,4,2,3,3,3,4,3,2,3,3,4,4,5,4,2,3,3,2,3,3,2,2,2,1,3,4,3,28,1,1,0,0,0,0,1,0,0,0,0,1,3.1875,15,2.5,3.66666666666667,4.63636363636364,2,2,2,4,2,3,25,1,4.5,4.5,0,13,2,2,3,2,13
R_3t1IY76hiogOek1,2,3,1,2,3,5,1,1,1,1,1,1,7,3,2,2,2,1,2,45,12,20,15,3,1,2,3,2,4,2,1,1,3,1,4,3,3,2,1,1,3,2,3,2,2,4,4,4,3,3,4,5,1,3,5,4,2,4,2,1,3,5,3,2,2,3,4,2,2,5,22,1,1,0,1,0,0,0,0,0,0,0,3,3.1875,7,3.1,2,2.18181818181818,2,1,2,3,2,0,7.5,7.5,7,.933333333333333,0,10,2,0,5,3,9
R_1zGQvaDutElBvWd,2,4,4,7,6,3,2,6,6,3,2,1,4,2,2,5,3,5,3,4,12,30,11,3,3,3,1,1,4,1,2,2,1,1,1,3,2,3,3,3,3,3,1,1,1,2,2,2,3,2,2,2,2,2,1,1,3,2,1,3,1,1,1,1,1,1,2,5,4,3,26,1,1,0,1,0,0,0,0,0,0,0,4,1.9375,10,2,3.33333333333333,4,1,1,2,3,2,2,28,4,5,1.25,0,9,1,0,2,1,7
R_6NP0aHbFb8yLzxf,2,3,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,1,2,29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,24,1,1,0,1,0,0,0,0,0,0,0,5,5,18,6,6,5,0,1,3,4,2,3,24.5,.5,1.5,3,0,27,3,3,6,3,14
R_6onlUSZsDfJg27j,2,3,4,5,6,6,5,6,5,5,6,6,7,5,5,4,4,3,5,7,10,36,4,3,3,3,3,3,3,4,3,3,3,2,2,4,1,4,4,2,1,4,4,5,2,5,4,4,4,3,3,3,3,3,4,4,3,1,3,3,4,4,4,3,2,4,5,5,4,4,25,1,1,0,0,1,0,0,0,0,0,0,5,3.25,17,3.9,4.33333333333333,5.54545454545455,0,2,2,4,2,3,25.5,1.5,1.5,1,0,19,3,1,4,2,11
